t_ms,seq,hsd_err
13,0,0x00000000
114,1,0x00000000
215,2,0x00000000
316,3,0x00000000
417,4,0x00000000
518,5,0x00000000
619,6,0x00000000
720,7,0x00000000
821,8,0x00000000
922,9,0x00000000
1023,10,0x00000000
1124,11,0x00000000
1225,12,0x00000000
1326,13,0x00000000
1427,14,0x00000000
1528,15,0x00000000
1629,16,0x00000000
1730,17,0x00000000
1831,18,0x00000000
1932,19,0x00000000
2033,20,0x00000000
2134,21,0x00000000
2235,22,0x00000000
2336,23,0x00000000
2437,24,0x00000000
2538,25,0x00000000
2639,26,0x00000000
2740,27,0x00000000
2841,28,0x00000000
2942,29,0x00000000
3043,30,0x00000000
3144,31,0x00000000
3245,32,0x00000000
3346,33,0x00000000
3447,34,0x00000000
3548,35,0x00000000
3649,36,0x00000000
3750,37,0x00000000
3851,38,0x00000000
3952,39,0x00000000
4053,40,0x00000000
4154,41,0x00000000
4255,42,0x00000000
4356,43,0x00000000
4457,44,0x00000000
4558,45,0x00000000
4659,46,0x00000000
4760,47,0x00000000
4861,48,0x00000000
4962,49,0x00000000
5064,50,0x00000000
5165,51,0x00000000
5266,52,0x00000000
5367,53,0x00000000
5468,54,0x00000000
5569,55,0x00000000
5670,56,0x00000000
5771,57,0x00000000
5872,58,0x00000000
5973,59,0x00000000
6074,60,0x00000000
6175,61,0x00000000
6276,62,0x00000000
6377,63,0x00000000
6478,64,0x00000000
6579,65,0x00000000
6680,66,0x00000000
6781,67,0x00000000
6882,68,0x00000000
6983,69,0x00000000
7084,70,0x00000000
7185,71,0x00000000
7286,72,0x00000000
7387,73,0x00000000
7488,74,0x00000000
7589,75,0x00000000
7690,76,0x00000000
7794,77,0x00000000
7895,78,0x00000000
7996,79,0x00000000
8097,80,0x00000000
8198,81,0x00000000
8299,82,0x00000000
8400,83,0x00000000
8501,84,0x00000000
8602,85,0x00000000
8703,86,0x00000000
8804,87,0x00000000
8905,88,0x00000000
9006,89,0x00000000
9107,90,0x00000000
9208,91,0x00000000
9309,92,0x00000000
9410,93,0x00000000
9511,94,0x00000000
9612,95,0x00000000
9713,96,0x00000000
9814,97,0x00000000
9915,98,0x00000000
10016,99,0x00000000
